0,1385975693092,16,0,0,290.87,-199.36,1629.61,291.38,-115.70,1508.10,190.98,-111.78,1525.97,216.06,-39.57,1326.01,315.38,-9.92,1231.45,58.76,-4.75,1271.39,211.48,17.71,1076.05,189.24,54.42,872.38,438.01,-90.35,803.28,-33.06,-16.13,841.81,373.45,-64.58,689.77,12.29,-52.72,730.89,487.01,-72.99,379.03,-116.16,-57.00,468.50,497.49,-131.97,-16.49,-124.94,-45.45,36.02,
1,1385975693126,16,0,0,293.70,-197.45,1629.54,287.89,-121.96,1508.04,183.91,-122.24,1525.55,217.12,-40.79,1326.45,315.38,-9.92,1231.45,58.25,-3.99,1271.37,208.45,15.24,1076.68,192.98,56.11,873.18,429.30,-100.81,800.60,-33.06,-16.13,841.81,373.45,-64.58,689.77,11.59,-51.54,730.98,493.77,-62.63,382.48,-116.16,-57.00,468.50,494.80,-136.15,-17.59,-124.94,-45.45,36.02,
2,1385975693159,16,0,0,281.62,-215.79,1629.65,292.88,-118.46,1508.10,182.12,-124.71,1524.62,218.95,-39.56,1326.64,309.36,-18.35,1230.58,59.74,-6.26,1272.39,209.40,13.62,1076.90,192.98,56.11,873.18,436.25,-90.35,802.60,-32.42,-17.21,841.86,373.45,-64.58,689.77,12.29,-52.72,730.89,493.77,-62.63,382.48,-116.16,-57.00,468.50,494.80,-136.15,-17.59,-124.94,-45.45,36.02,
3,1385975693192,16,0,0,288.73,-209.74,1629.35,292.88,-118.46,1508.10,168.29,-143.68,1523.74,228.11,-29.75,1327.90,309.42,-18.79,1230.81,60.69,-9.98,1273.79,205.43,17.80,1076.99,191.39,54.42,872.91,403.47,-56.58,790.32,-34.02,-17.09,841.69,373.45,-64.58,689.77,10.55,-48.48,730.88,495.76,-59.59,383.36,-117.58,-53.55,468.88,497.49,-131.97,-16.49,-124.94,-45.45,36.02,
4,1385975693225,16,0,0,282.73,-219.46,1628.13,303.25,-107.27,1507.93,157.98,-157.83,1523.72,228.11,-29.75,1327.90,317.99,-9.67,1232.77,61.17,-15.65,1274.72,204.76,24.57,1077.93,190.01,57.13,872.90,435.29,-90.90,801.74,-27.98,-13.01,843.11,373.45,-64.58,689.77,8.92,-49.60,730.34,495.76,-59.59,383.36,-118.01,-52.50,469.04,497.49,-131.97,-16.49,-124.94,-45.45,36.02,
5,1385975693259,16,0,0,288.20,-216.30,1627.71,285.57,-133.18,1507.72,175.29,-141.30,1524.76,226.59,-31.80,1328.69,321.91,-8.36,1233.58,60.71,-14.04,1275.12,204.47,22.85,1078.31,197.09,55.49,873.70,404.93,-54.72,791.23,-27.96,-10.27,843.51,373.45,-64.58,689.77,11.56,-53.83,730.08,493.77,-62.63,382.48,-115.16,-57.60,468.49,494.80,-136.15,-17.59,-124.24,-47.17,35.49,
6,1385975693292,16,0,0,287.18,-221.66,1627.79,1189.06,1204.40,1222.00,-433.82,-505.04,641.48,216.59,-45.86,1328.50,68.80,-294.34,1366.78,-131.80,-33.58,38.90,201.40,28.58,1078.35,196.77,53.39,873.45,407.27,-55.03,793.53,-112.96,-56.96,468.78,375.69,-61.97,689.57,18.99,-50.76,762.35,487.01,-72.99,379.03,55.79,-26.06,1226.75,494.80,-136.15,-17.59,557.76,639.97,614.97,
7,1385975693325,16,0,0,293.28,-218.15,1626.52,281.92,-143.85,1507.87,167.20,-156.83,1572.72,216.31,-52.39,1328.47,323.10,-7.28,1234.35,66.87,-19.09,1280.56,206.81,30.46,1080.34,193.46,54.34,871.68,407.30,-53.29,793.87,-19.38,-2.13,845.68,376.87,-60.60,690.14,11.34,-53.33,730.25,495.29,-63.49,383.39,-121.05,-63.18,466.91,495.58,-134.92,-16.84,-131.80,-33.58,38.90,
8,1385975693360,16,0,0,282.61,-240.60,1625.60,293.66,-135.02,1505.26,173.45,-148.44,1570.35,231.37,-38.59,1330.15,312.85,-21.65,1233.06,68.45,-24.13,1233.62,207.47,22.33,1081.34,183.53,59.74,868.86,412.21,-50.11,794.92,-24.69,-1.27,844.60,376.87,-60.60,690.14,8.35,-48.32,730.59,496.87,-64.88,384.12,-123.38,-65.47,466.80,495.58,-134.92,-16.84,-128.72,-41.10,37.08,
9,1385975693392,16,0,0,272.78,-237.99,1667.47,282.78,-159.32,1504.23,171.18,-163.15,1566.64,208.17,-76.38,1377.29,327.15,-8.68,1235.02,51.79,-48.55,1234.03,208.10,23.23,1081.83,186.09,62.13,866.87,445.50,-70.76,812.02,-29.92,-4.52,843.32,375.94,-61.00,688.89,8.25,-45.25,731.44,489.33,-83.51,379.70,-113.15,-67.97,468.37,489.26,-144.81,-21.08,-129.15,-40.33,37.15,
